ID,NAME,longitude
400,Pitt St & Stanton St,-73.98178024
401,Allen St & Rivington St,-73.98997825
402,Broadway & E 22 St,-73.98955109
403,E 2 St & 2 Ave,-73.99069656
405,Washington St & Gansevoort St,-74.008119
406,Hicks St & Montague St,-73.99595065
408,Market St & Cherry St,-73.99400398
410,Suffolk St & Stanton St,-73.98517977
411,E 6 St & Avenue D,-73.97668709
412,Forsyth St & Canal St,-73.99422366
415,Pearl St & Hanover Square,-74.00926027
416,Cumberland St & Lafayette Ave,-73.97265183
417,Barclay St & Church St,-74.01020234
418,Front St & Gold St,-73.982578
419,Carlton Ave & Park Ave,-73.97355569
420,Clermont Ave & Lafayette Ave,-73.96968902
421,Clermont Ave & Park Ave,-73.97129668
422,W 59 St & 10 Ave,-73.988038
423,W 54 St & 9 Ave,-73.98690506
426,West St & Chambers St,-74.01322069
427,Bus Slip & State St,-74.013942
432,E 7 St & Avenue A,-73.98379855
434,9 Ave & W 18 St,-74.00366443
435,W 21 St & 6 Ave,-73.99415556
436,Hancock St & Bedford Ave,-73.95399026
437,Macon St & Nostrand Ave,-73.9500479759
438,St Marks Pl & 1 Ave,-73.98564945
439,E 4 St & 2 Ave,-73.98978041
440,E 45 St & 3 Ave,-73.97282625
442,W 27 St & 7 Ave,-73.993915
443,Bedford Ave & S 9 St,-73.96408963
445,E 10 St & Avenue A,-73.98142006
446,W 24 St & 7 Ave,-73.99529885
447,8 Ave & W 52 St,-73.9851615
448,W 37 St & 10 Ave,-73.9979009
450,W 49 St & 8 Ave,-73.98788205
453,W 22 St & 8 Ave,-73.99915362
454,E 51 St & 1 Ave,-73.96592976
455,1 Ave & E 44 St,-73.96905301
456,E 53 St & Madison Ave,-73.97402311
458,11 Ave & W 27 St,-74.005226
459,W 20 St & 11 Ave,-74.007756
460,S 4 St & Wythe Ave,-73.96590294
461,E 20 St & 2 Ave,-73.98205027
462,W 22 St & 10 Ave,-74.00451887
464,E 56 St & 3 Ave,-73.96759673
465,Broadway & W 41 St,-73.98658032
466,W 25 St & 6 Ave,-73.99144871
467,Dean St & 4 Ave,-73.97895137
468,Broadway & W 56 St,-73.98192338
469,Broadway & W 53 St,-73.98268129
470,W 20 St & 8 Ave,-74.00004031
471,Grand St & Havemeyer St,-73.95698119
472,E 32 St & Park Ave,-73.98194829
473,Rivington St & Chrystie St,-73.9919254
474,5 Ave & E 29 St,-73.98683077
476,E 31 St & 3 Ave,-73.97966069
477,W 41 St & 8 Ave,-73.9900262
478,11 Ave & W 41 St,-73.99884222
479,9 Ave & W 45 St,-73.9912551
480,W 53 St & 10 Ave,-73.99061728
481,S 3 St & Bedford Ave,-73.96264403
482,W 15 St & 7 Ave,-73.99931783
483,E 12 St & 3 Ave,-73.98889957
484,W 44 St & 5 Ave,-73.98014437
485,W 37 St & 5 Ave,-73.98338988
486,Broadway & W 29 St,-73.98855723
487,E 20 St & FDR Drive,-73.97573881
489,10 Ave & W 28 St,-74.00176802
490,8 Ave & W 33 St,-73.993934
491,E 24 St & Park Ave S,-73.98602213
492,W 33 St & 7 Ave,-73.99093085
493,W 45 St & 6 Ave,-73.98291153
494,W 26 St & 8 Ave,-73.99723551
495,W 47 St & 10 Ave,-73.99301222
496,E 16 St & 5 Ave,-73.99238967
497,E 17 St & Broadway,-73.99009296
499,Broadway & W 60 St,-73.98191841
500,Broadway & W 51 St,-73.98336183
501,FDR Drive & E 35 St,-73.97121214
502,Henry St & Grand St,-73.981095
503,E 20 St & Park Ave,-73.98751968
504,1 Ave & E 16 St,-73.98165557
505,6 Ave & W 33 St,-73.98848395
507,E 25 St & 2 Ave,-73.97973776
508,W 46 St & 11 Ave,-73.99667444
509,9 Ave & W 22 St,-74.00197139
513,W 56 St & 10 Ave,-73.988639
514,12 Ave & W 40 St,-74.00277668
515,W 43 St & 10 Ave,-73.99461843
516,E 47 St & 1 Ave,-73.96784384
517,Pershing Square South,-73.97791
518,E 39 St & 2 Ave,-73.9734419
519,Pershing Square North,-73.977706
520,W 52 St & 5 Ave,-73.97648516
522,E 51 St & Lexington Ave,-73.97207836
523,W 38 St & 8 Ave,-73.99138152
525,W 34 St & 11 Ave,-74.0021163
526,E 33 St & 5 Ave,-73.98490707
528,2 Ave & E 31 St,-73.97706058
529,W 42 St & 8 Ave,-73.99098507
530,11 Ave & W 59 St,-73.99046033620834
531,Forsyth St & Broome St,-73.99266288
532,S 5 Pl & S 5 St,-73.960876
533,Broadway & W 38 St,-73.98721619
534,Water - Whitehall Plaza,-74.0127234
536,1 Ave & E 30 St,-73.97536082
539,Metropolitan Ave & Bedford Ave,-73.96024116
540,Lexington Ave & E 29 St,-73.98215353488922
545,E 23 St & 1 Ave,-73.97809472
546,E 30 St & Park Ave S,-73.98303529
2000,Front St & Washington St,-73.98940236
2002,Wythe Ave & Metropolitan Ave,-73.963198
2003,1 Ave & E 18 St,-73.98054420948029
2005,Railroad Ave & Kay Ave,-73.97100056
2006,Central Park S & 6 Ave,-73.97634151
2008,Little West St & 1 Pl,-74.01677685
2009,Catherine St & Monroe St,-73.99682619
2010,Grand St & Greene St,-74.00238141417502
2012,E 27 St & 1 Ave,-73.976806
